simple_player,improved_better_h_player,2,0,1
improved_better_h_player,simple_player,2,0.5,0.5
simple_player,better_h_player,2,0,1
better_h_player,simple_player,2,0.5,0.5
simple_player,improved_player,2,1,0
improved_player,simple_player,2,0.5,0.5
improved_better_h_player,better_h_player,2,1,0
better_h_player,improved_better_h_player,2,0,1
improved_better_h_player,improved_player,2,0.5,0.5
improved_player,improved_better_h_player,2,0.5,0.5
better_h_player,improved_player,2,0.5,0.5
improved_player,better_h_player,2,0.5,0.5
simple_player,improved_better_h_player,10,0,1
improved_better_h_player,simple_player,10,1,0
simple_player,better_h_player,10,0,1
better_h_player,simple_player,10,1,0
simple_player,improved_player,10,0.5,0.5
improved_player,simple_player,10,0.5,0.5
improved_better_h_player,better_h_player,10,0.5,0.5
better_h_player,improved_better_h_player,10,0.5,0.5
improved_better_h_player,improved_player,10,1,0
improved_player,improved_better_h_player,10,0,1
better_h_player,improved_player,10,0,1
improved_player,better_h_player,10,0,1
simple_player,improved_better_h_player,50,0.5,0.5
improved_better_h_player,simple_player,50,0.5,0.5
simple_player,better_h_player,50,0,1
better_h_player,simple_player,50,0.5,0.5
simple_player,improved_player,50,0.5,0.5
improved_player,simple_player,50,0.5,0.5
improved_better_h_player,better_h_player,50,1,0
better_h_player,improved_better_h_player,50,0.5,0.5
improved_better_h_player,improved_player,50,0.5,0.5
improved_player,improved_better_h_player,50,0.5,0.5
better_h_player,improved_player,50,0.5,0.5
improved_player,better_h_player,50,0,1
